RecordID|RentalDate|ReturnDate|RentalCustomerID
DR019|2024-12-10|2024-12-11|coab
DR001|2024-12-10|2024-12-11|abcd
GN975|2024-12-10|          |abcd
JW394|2024-12-10|          |lbro
FU197|2024-12-10|2024-12-11|lbro
FU318|2024-12-10|2024-12-11|lbro
JW604|2024-12-10|2024-12-11|mnop
GN975|2024-12-10|2024-12-11|mnop
TS005|2024-12-10|2024-12-11|efgh
JW268|2024-12-10|          |efgh
GU208|2024-12-11|2024-12-11|jake
KL302|2024-12-11|          |jake
SZ402|2024-12-11|2024-12-11|jake
FM603|2024-12-11|         |jake
SZ401|2024-12-11|         |jake
GU208|2024-12-11|         |siya
SZ403|2024-12-11|         |siya
SZ404|2024-12-11|         |siya
DR007|2024-12-11|2024-12-11|siya
GU205|2024-12-11|2024-12-11|bert
GU206|2024-12-11|         |jake
KL301|2024-12-11|2024-12-11|siya
KL303|2024-12-11|         |siya
KL305|2024-12-11|2024-12-11|siya
FM608|2024-12-11|         |lbro
SZ408|2024-12-11|         |lbro
KL310|2024-12-11|         |lbro
FU076|2024-12-11|2024-12-11|lbro
BE106|2024-12-11|         |bert
GU209|2024-12-11|         |bert
DR001|2024-12-11|2024-12-11|lbro
DR236|2024-12-11|2024-12-11|mary
GU205|2024-12-11|         |mary
BE108|2024-12-11|2024-12-11|josh
GU207|2024-12-11|         |josh
GU202|2024-12-11|         |siya
DR236|2024-12-11|         |bert
SZ402|2024-12-11|2024-12-11|bert
BE107|2024-12-11|         |josh
BE101|2024-12-11|2024-12-11|abdi
GU201|2024-12-11|         |abdi
GU203|2024-12-11|         |mona
DR210|2024-12-11|2024-12-11|mona
FU197|2024-12-11|         |mona
SZ402|2024-12-11|         |abdi
FM602|2024-12-11|         |abdi
DR236|2024-12-11|         |musa
DR019|2024-12-11|         |mnop
DR001|2024-12-11|         |abdi
BE109|2024-12-11|         |yoni
JW385|2024-12-11|         |yoni
GU204|2024-12-11|2024-12-11|yoni
GU204|2024-12-11|         |tobi
DR001|2024-12-11|         |tobi
BE110|2024-12-11|2024-12-11|toni
KL308|2024-12-11|         |toni
SZ406|2024-12-11|2024-12-11|toni
SZ407|2024-12-11|2024-12-11|toni
FM601|2024-12-11|         |toni
FM610|2024-12-11|         |toni
SZ409|2024-12-11|         |toni
GU210|2024-12-11|         |hari
KL307|2024-12-11|         |hari
FM604|2024-12-11|         |hari
SZ405|2024-12-11|         |yuna
SZ406|2024-12-11|         |yuna
FM605|2024-12-11|         |hari
DR210|2024-12-11|         |hari
BE110|2024-12-11|         |abdi
