CustomerID,SubscriptionType,StartDate,EndDate
abcd,Basic,2021-11-15,2025-11-30
lbro,Premium,2022-07-09,2025-12-24
coab,Basic,2024-12-09,2025-03-09
efgh,Premium,2024-12-09,2025-03-09
mnop,Basic,2024-12-10,2025-03-10
jake,Premium,2024-12-11,2025-03-11
bert,Premium,2024-12-11,2025-03-11
siya,Premium,2024-12-11,2025-03-11
roys,Basic,2024-12-11,2025-03-11
josh,Basic,2024-12-11,2025-03-11
mary,Premium,2024-12-11,2025-03-11
abdi,Premium,2024-12-11,2025-03-11
musa,Basic,2024-12-11,2025-03-11
mona,Premium,2024-12-11,2025-03-11
yoni,Premium,2024-12-11,2025-03-11
tobi,Basic,2024-12-11,2025-03-11
toni,Premium,2024-12-11,2025-03-11
hari,Premium,2024-12-11,2025-03-11
yuna,Basic,2024-12-11,2025-03-11
